United States COVID-19 Cases Deaths and Testing by State
Date generated: Fri May 14 2021 20:04:45 GMT-0400 (Eastern Daylight Time)
State/Territory,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
Alaska,66574,0,0,570,9100,347,null,null,4,47,77.9,0.6,0-5%,0-5%,0-5%,314995.8,2304336,5555.78,40643,26595.49,194558,83,0
Alabama,532895,411903,120992,1794,10868,11001,8664,2337,24,224,36.6,0.5,11-20%,6-10%,6-10%,90977.4,4460790,756.14,37075,3535.95,173374,838,4
Arkansas,338235,0,0,1287,11208,5783,null,null,26,191,42.7,0.9,6-10%,0-5%,0-5%,90633.52,2735142,565.58,17068,3319.2,100167,192,6
American Samoa,0,0,0,0,0,0,null,null,0,0,0,0,,,,null,null,null,null,null,null,null,null
Arizona,871168,806807,64361,4545,11969,17438,15496,1942,71,239,62.4,1,11-20%,0-5%,0-5%,102983.51,7495878,1131.19,82336,6301.41,458662,544,8
California,3659641,0,0,11365,9262,61351,null,null,424,155,28.8,1.1,6-10%,0-5%,0-5%,133751.02,52848000,2797.05,1105177,13084.28,5169890,1443,46
Colorado,528533,493614,34919,9119,9178,6423,5655,768,78,111,158.4,1.4,6-10%,6-10%,0-5%,129427.6,7453394,2710.4,156085,12428.18,715706,1846,21
Connecticut,344612,315770,28842,2330,9666,8168,6728,1440,37,229,65.4,1,0-5%,0-5%,0-5%,250606.64,8934846,4673,166606,24294.06,866153,471,7
District of Columbia,48404,0,0,324,6858,1115,null,null,5,157,45.9,0.7,0-5%,0-5%,0-5%,263844.65,1862081,4372.23,30857,23621.85,166711,68,0
Delaware,106580,99260,7320,1008,10945,1648,1506,142,19,169,103.5,2,6-10%,0-5%,0-5%,206736.95,2013130,3522.62,34302,17357.08,169017,125,4
Florida,2239982,0,0,23823,10429,35929,null,null,380,167,110.9,1.8,6-10%,6-10%,6-10%,132226.25,28399206,2229.24,478790,10540.12,2263780,4013,47
Federated States of Micronesia,1,1,0,0,1,0,null,null,0,0,0,0,,,,null,null,null,null,null,null,0,0
