Data as of,Start Date,End Date,Sex,Age Years,Total deaths,COVID-19 Deaths
05/10/2021,01/01/2020,04/30/2021,Male,<1 year,"13,525",40
05/10/2021,01/01/2020,04/30/2021,Male,01 Years,949,11
05/10/2021,01/01/2020,04/30/2021,Male,02 Years,635,3
05/10/2021,01/01/2020,04/30/2021,Male,03 Years,515,3
05/10/2021,01/01/2020,04/30/2021,Male,04 Years,406,4
05/10/2021,01/01/2020,04/30/2021,Male,05 Years,381,6
05/10/2021,01/01/2020,04/30/2021,Male,06 Years,324,1
05/10/2021,01/01/2020,04/30/2021,Male,07 Years,303,4
05/10/2021,01/01/2020,04/30/2021,Male,08 Years,270,5
05/10/2021,01/01/2020,04/30/2021,Male,09 Years,302,6
05/10/2021,01/01/2020,04/30/2021,Male,10 Years,337,4
05/10/2021,01/01/2020,04/30/2021,Male,11 Years,399,5
05/10/2021,01/01/2020,04/30/2021,Male,12 Years,438,10
05/10/2021,01/01/2020,04/30/2021,Male,13 Years,627,9
05/10/2021,01/01/2020,04/30/2021,Male,14 Years,844,5
05/10/2021,01/01/2020,04/30/2021,Male,15 Years,"1,129",12
05/10/2021,01/01/2020,04/30/2021,Male,16 Years,"1,618",11
05/10/2021,01/01/2020,04/30/2021,Male,17 Years,"2,160",22
05/10/2021,01/01/2020,04/30/2021,Male,18 Years,"2,980",26
05/10/2021,01/01/2020,04/30/2021,Male,19 Years,"3,652",53
05/10/2021,01/01/2020,04/30/2021,Male,20 Years,"3,862",56
05/10/2021,01/01/2020,04/30/2021,Male,21 Years,"4,378",66
05/10/2021,01/01/2020,04/30/2021,Male,22 Years,"4,508",66
05/10/2021,01/01/2020,04/30/2021,Male,23 Years,"4,719",93
05/10/2021,01/01/2020,04/30/2021,Male,24 Years,"5,007",118
05/10/2021,01/01/2020,04/30/2021,Male,25 Years,"5,348",104
05/10/2021,01/01/2020,04/30/2021,Male,26 Years,"5,611",138
05/10/2021,01/01/2020,04/30/2021,Male,27 Years,"6,043",180
05/10/2021,01/01/2020,04/30/2021,Male,28 Years,"6,508",184
05/10/2021,01/01/2020,04/30/2021,Male,29 Years,"6,903",244
05/10/2021,01/01/2020,04/30/2021,Male,30 Years,"7,259",235
05/10/2021,01/01/2020,04/30/2021,Male,31 Years,"7,295",297
05/10/2021,01/01/2020,04/30/2021,Male,32 Years,"7,253",301
05/10/2021,01/01/2020,04/30/2021,Male,33 Years,"7,423",344
05/10/2021,01/01/2020,04/30/2021,Male,34 Years,"7,621",389
05/10/2021,01/01/2020,04/30/2021,Male,35 Years,"7,788",408
05/10/2021,01/01/2020,04/30/2021,Male,36 Years,"7,991",432
05/10/2021,01/01/2020,04/30/2021,Male,37 Years,"8,353",517
05/10/2021,01/01/2020,04/30/2021,Male,38 Years,"8,558",537
05/10/2021,01/01/2020,04/30/2021,Male,39 Years,"9,237",574
05/10/2021,01/01/2020,04/30/2021,Male,40 Years,"9,453",635
05/10/2021,01/01/2020,04/30/2021,Male,41 Years,"9,467",751
05/10/2021,01/01/2020,04/30/2021,Male,42 Years,"9,369",793
05/10/2021,01/01/2020,04/30/2021,Male,43 Years,"9,800",837
05/10/2021,01/01/2020,04/30/2021,Male,44 Years,"9,933",973
05/10/2021,01/01/2020,04/30/2021,Male,45 Years,"10,548","1,130"
05/10/2021,01/01/2020,04/30/2021,Male,46 Years,"11,168","1,188"
05/10/2021,01/01/2020,04/30/2021,Male,47 Years,"12,197","1,393"
05/10/2021,01/01/2020,04/30/2021,Male,48 Years,"13,726","1,576"
