Trends in Number of COVID-19 Vaccinations in the US
Date generated: Wed May 12 2021 18:36:20 GMT-0400 (Eastern Daylight Time)
Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Admin,2020-12-13,US,12726,11202,1355,12726,11202,1355,11202,12726,1355,null,null,1434,11202,1434,1434
Report,2020-12-13,US,null,null,null,null,null,null,null,null,null,0,0,null,null,null,null
Admin,2020-12-13,LTC,229,229,0,229,229,0,229,229,0,null,null,0,229,0,0
Admin,2020-12-14,US,3805,3677,5,16531,14879,1360,7440,8265,680,null,null,23,14879,1457,728
Report,2020-12-14,US,null,null,null,null,null,null,null,null,null,509,255,null,null,null,null
Admin,2020-12-14,LTC,0,0,0,229,229,0,115,114,0,null,null,0,229,0,0
Admin,2020-12-15,US,49451,45980,27,65982,60859,1387,20286,21994,462,null,null,48,60859,1505,501
Report,2020-12-15,US,null,null,null,null,null,null,null,null,null,12129,4213,null,null,null,null
Admin,2020-12-15,LTC,0,0,0,229,229,0,76,76,0,null,null,0,229,0,0
Admin,2020-12-16,US,159706,152790,207,225688,213649,1594,53412,56422,399,null,null,230,213649,1735,433
Report,2020-12-16,US,null,null,null,null,null,null,null,null,null,38996,12909,null,null,null,null
Admin,2020-12-16,LTC,0,0,0,229,229,0,57,57,0,null,null,0,229,0,0
Admin,2020-12-17,US,272646,261586,511,498334,475235,2105,95047,99666,421,null,null,532,475235,2267,453
Report,2020-12-17,US,null,null,null,null,null,null,null,null,null,75708,25468,null,null,null,null
Admin,2020-12-17,LTC,5,5,0,234,234,0,47,46,0,null,null,0,234,0,0
Admin,2020-12-18,US,415125,403269,654,913459,878504,2759,146417,152243,460,null,null,657,878504,2924,487
Report,2020-12-18,US,null,null,null,null,null,null,null,null,null,126800,42357,null,null,null,null
Admin,2020-12-18,LTC,1518,1319,0,1752,1553,0,259,292,0,null,null,0,1553,0,0
Admin,2020-12-19,US,181063,176209,742,1094522,1054713,3501,150673,156360,500,null,null,743,1054713,3667,523
Report,2020-12-19,US,null,null,null,null,null,null,null,null,null,187508,63093,null,null,null,null
Admin,2020-12-19,LTC,323,323,0,2075,1876,0,268,296,0,null,null,0,1876,0,0
Admin,2020-12-20,US,103616,101265,517,1198138,1155978,4018,163539,169344,380,null,null,555,1155978,4222,398
Report,2020-12-20,US,null,null,null,null,null,null,null,null,null,209853,93072,null,null,null,null
Admin,2020-12-20,LTC,211,211,0,2286,2087,0,265,293,0,null,null,0,2087,0,0
Admin,2020-12-21,US,378958,370260,865,1577096,1526238,4883,215908,222937,503,null,null,869,1526238,5091,519
Report,2020-12-21,US,null,null,null,null,null,null,null,null,null,149957,114422,null,null,null,null
Admin,2020-12-21,LTC,14167,14003,0,16453,16090,0,2266,2317,0,null,null,0,16090,0,0
Admin,2020-12-22,US,445341,435846,2119,2022437,1962084,7002,271604,279493,802,null,null,2122,1962084,7213,815
Report,2020-12-22,US,null,null,null,null,null,null,null,null,null,189722,139792,null,null,null,null
Admin,2020-12-22,LTC,16784,16562,9,33237,32652,9,4632,4715,1,null,null,9,32652,9,1
Admin,2020-12-23,US,565789,553486,1725,2588226,2515570,8727,328846,337505,1019,null,null,1729,2515570,8942,1029
Report,2020-12-23,US,null,null,null,null,null,null,null,null,null,368173,186817,null,null,null,null
Admin,2020-12-23,LTC,22752,20181,13,55989,52833,22,7515,7965,3,null,null,13,52833,22,3
Admin,2020-12-24,US,193633,188006,887,2781859,2703576,9614,318334,326217,1073,null,null,890,2703576,9832,1080
Report,2020-12-24,US,null,null,null,null,null,null,null,null,null,338436,224350,null,null,null,null
Admin,2020-12-24,LTC,2049,2033,16,58038,54866,38,7805,8257,5,null,null,16,54866,38,5
Admin,2020-12-25,US,12132,12020,54,2793991,2715596,9668,262442,268647,987,null,null,54,2715596,9886,994
Report,2020-12-25,US,null,null,null,null,null,null,null,null,null,336145,254256,null,null,null,null
Admin,2020-12-25,LTC,115,115,0,58153,54981,38,7633,8057,5,null,null,0,54981,38,5
Admin,2020-12-26,US,137929,135334,387,2931920,2850930,10055,256602,262485,936,null,null,390,2850930,10276,944
Report,2020-12-26,US,null,null,null,null,null,null,null,null,null,156478,249823,null,null,null,null
Admin,2020-12-26,LTC,9368,9241,13,67521,64222,51,8907,9349,7,null,null,13,64222,51,7
Admin,2020-12-27,US,92913,90929,351,3024833,2941859,10406,255126,260956,913,null,null,398,2941859,10674,921
Report,2020-12-27,US,null,null,null,null,null,null,null,null,null,61992,228700,null,null,null,null
Admin,2020-12-27,LTC,8952,8825,8,76473,73047,59,10137,10598,8,null,null,8,73047,59,8
Admin,2020-12-28,US,575732,561245,2430,3600565,3503104,12836,282409,289067,1136,null,null,2437,3503104,13111,1145
Report,2020-12-28,US,null,null,null,null,null,null,null,null,null,156220,229595,null,null,null,null
Admin,2020-12-28,LTC,59908,59296,22,136381,132343,81,16608,17132,12,null,null,22,132343,81,11
Admin,2020-12-29,US,705024,683422,3175,4305589,4186526,16011,317777,326164,1287,null,null,3181,4186526,16292,1297
Report,2020-12-29,US,null,null,null,null,null,null,null,null,null,314677,247446,null,null,null,null
Admin,2020-12-29,LTC,79627,78493,75,216008,210836,156,25455,26110,21,null,null,75,210836,156,21
Admin,2020-12-30,US,824108,800365,5671,5129697,4986891,21682,353046,363067,1851,null,null,5676,4986891,21968,1860
Report,2020-12-30,US,null,null,null,null,null,null,null,null,null,441549,257928,null,null,null,null
Admin,2020-12-30,LTC,77627,76530,247,293635,287366,403,33505,33949,54,null,null,247,287366,403,54
Admin,2020-12-31,US,414130,402334,2110,5543827,5389225,23792,383664,394566,2025,null,null,2112,5389225,24080,2035
Report,2020-12-31,US,null,null,null,null,null,null,null,null,null,573278,291477,null,null,null,null
Admin,2020-12-31,LTC,16171,16094,70,309806,303460,473,35513,35966,62,null,null,70,303460,473,62
Admin,2021-01-01,US,49182,46571,1779,5593009,5435796,25571,388600,399859,2272,null,null,1884,5435796,25964,2296
Report,2021-01-01,US,null,null,null,null,null,null,null,null,null,434528,305532,null,null,null,null
Admin,2021-01-01,LTC,1609,1605,4,311415,305065,477,35726,36180,63,null,null,4,305065,477,62
Admin,2021-01-02,US,250036,243017,2292,5843045,5678813,27863,403983,415875,2544,null,null,2300,5678813,28264,2569
Report,2021-01-02,US,null,null,null,null,null,null,null,null,null,290402,324664,null,null,null,null
Admin,2021-01-02,LTC,46550,45834,38,357965,350899,515,40954,41492,66,null,null,38,350899,515,66
Admin,2021-01-03,US,129845,123519,2138,5972890,5802332,30001,408639,421151,2799,null,null,2140,5802332,30404,2818
Report,2021-01-03,US,null,null,null,null,null,null,null,null,null,185279,342276,null,null,null,null
Admin,2021-01-03,LTC,32562,31876,57,390527,382775,572,44247,44864,73,null,null,57,382775,572,73
Admin,2021-01-04,US,630553,575221,42367,6603443,6377553,72368,410636,428982,8505,null,null,42381,6377553,72785,8524
Report,2021-01-04,US,null,null,null,null,null,null,null,null,null,239472,354169,null,null,null,null
